Product Name,URL,Price,Ratings,Delivery
boAt BassHeads 100 in-Ear Headphones with Mic (Black),/boAt-BassHeads-100-Headphones-Black/dp/B071Z8M4KX/ref=sr_1_1?dchild=1&keywords=headphones&qid=1584619973&sr=8-1,379,4.1 out of 5 stars,FREE Delivery over ₹499. Fulfilled by Amazon.
Boat BassHeads 900 Wired Headphone with Mic,/Boat-BassHeads-900-Wired-Headphone/dp/B074ZF7PVZ/ref=sr_1_2?dchild=1&keywords=headphones&qid=1584619973&sr=8-2,749,4.2 out of 5 stars,FREE Delivery by Amazon
JBL C100SI In-Ear Deep Bass Headphones with Mic (Black),/JBL-C100SI-Ear-Headphones-Black/dp/B01DEWVZ2C/ref=sr_1_3?dchild=1&keywords=headphones&qid=1584619973&smid=A14CZOWI0VEHLG&sr=8-3,599,4.0 out of 5 stars,FREE Delivery by Amazon
"Sony MDR-ZX110A On-Ear Stereo Headphones (White), without mic",/Sony-MDR-ZX110A-Stereo-Headphones-without/dp/B00KGZZ824/ref=sr_1_4?dchild=1&keywords=headphones&qid=1584619973&sr=8-4,749,4.0 out of 5 stars,FREE Delivery by Amazon
"JBL C300SI On-Ear Dynamic Wired Headphones, Without Mic (Black)",/JBL-C300SI-Dynamic-Wired-Headphones/dp/B01FXJI1OY/ref=sr_1_5?dchild=1&keywords=headphones&qid=1584619973&smid=A14CZOWI0VEHLG&sr=8-5,699,3.9 out of 5 stars,FREE Delivery by Amazon
"Cosmic Byte GS410 Headphones with Mic and for PS4, Xbox One, Laptop, PC, iPhone and Android Phones (Black/Blue)",/Cosmic-Byte-Headphones-Laptop-Android/dp/B074123WSD/ref=sr_1_6?dchild=1&keywords=headphones&qid=1584619973&sr=8-6,949,4.1 out of 5 stars,FREE Delivery by Amazon
"Clavier Neo in-Ear Headphones/Earphones with Stereo Mic for All Smartphones with Pouch, Black",/Clavier-Headphones-Earphones-Stereo-Smartphones/dp/B082W2JLRT/ref=sr_1_7?dchild=1&keywords=headphones&qid=1584619973&sr=8-7,,,
boAt Rockerz 450 Wireless Bluetooth Headphone (Luscious Black),/Rockerz-450-Wireless-Bluetooth-Headphone/dp/B07PR1CL3S/ref=sr_1_8?dchild=1&keywords=headphones&qid=1584619973&sr=8-8,"1,499",4.1 out of 5 stars,FREE Delivery by Amazon
Philips SBCHL140 On-Ear Headphones (Grey),/Philips-SBCHL140-On-Ear-Headphones-Grey/dp/B0056435NY/ref=sr_1_9?dchild=1&keywords=headphones&qid=1584619973&sr=8-9,365,,FREE Delivery over ₹499. Fulfilled by Amazon.
JBL C50HI in-Ear Headphones with Mic (Blue),/JBL-C50HI-Ear-Headphones-Blue/dp/B07JQKR35P/ref=sr_1_10?dchild=1&keywords=headphones&qid=1584619973&smid=A14CZOWI0VEHLG&sr=8-10,449,,FREE Delivery over ₹499. Fulfilled by Amazon.
Motorola Pace 100 in-Ear Headphones with Mic & Alexa Built-in(Black),/Motorola-Pace-100-Headphones-Black/dp/B07P34X4BW/ref=sr_1_11?dchild=1&keywords=headphones&qid=1584619973&sr=8-11,299,,FREE Delivery over ₹499. Fulfilled by Amazon.
"Sennheiser CX 180 Street II In-Ear Headphone (Black), without Mic.",/Sennheiser-CX-180-Street-II/dp/B00D75AB6I/ref=sr_1_12?dchild=1&keywords=headphones&qid=1584619973&smid=A14CZOWI0VEHLG&sr=8-12,699,4.2 out of 5 stars,FREE Delivery by Amazon
On Ear Wireless Bluetooth Headphone with FM/SD Card Slot with Music and Calling Control (Black),/Wireless-Bluetooth-Headphone-Calling-Control/dp/B082RBBKZN/ref=sr_1_13?dchild=1&keywords=headphones&qid=1584619973&sr=8-13,590,,
Mi Earphone Basic with Ultra deep bass and mic (Red),/Mi-Earphones-Basic-Mic-Red/dp/B07C9GHXFW/ref=sr_1_14?dchild=1&keywords=headphones&qid=1584619973&sr=8-14,399,4.2 out of 5 stars,FREE Delivery over ₹499. Fulfilled by Amazon.
"CRAYOTALK Bluetooth Headphone with Noise Isolation and Hands-Free Mic and Buttons with Magnetic Earbuds Secure Fit for Gym, Running and Outdoor",/CRAYOTALK-Bluetooth-Headphone-Isolation-Hands-Free/dp/B085WQ9477/ref=sr_1_15?dchild=1&keywords=headphones&qid=1584619973&sr=8-15,249,,
"Infinity (JBL) Glide 500 Wireless Headphones with 20 Hours Playtime (Quick Charge), Deep Bass and Dual Equalizer (Charcoal Black)",/Infinity-Glide-500-Wireless-Headphones/dp/B07W5MYRF4/ref=sr_1_16?dchild=1&keywords=headphones&qid=1584619973&sr=8-16,"1,599",4.2 out of 5 stars,FREE Delivery by Amazon
"PANASONIC Lightweight Headphones with Microphone, Call Controller and 3.9 ft Audio Cord Compatible with iPhone, BlackBerry, Android - RP-HF100M-A - On-Ear Headphones (Blue)",/Panasonic-Headphones-RP-HF100M-Integrated-Travel-Fold/dp/B01LYQJ0V4/ref=sr_1_19?dchild=1&keywords=headphones&qid=1584620124&sr=8-19,799,4.2 out of 5 stars,FREE Delivery by Amazon
boAt BassHeads 225 in-Ear Super Extra Bass Headphones (Black),/BassHeads-225-Super-Extra-Headphones/dp/B01M9C51T9/ref=sr_1_20?dchild=1&keywords=headphones&qid=1584620124&smid=A14CZOWI0VEHLG&sr=8-20,499,3.9 out of 5 stars,FREE Delivery by Amazon
"Mi Super Bass Wireless Headphones with Super Powerful Bass, Up to 20 Hours Battery Life, Bluetooth 5.0 (Black and Red)",/Mi-Wireless-Headphones-Powerful-Bluetooth/dp/B07TF2R9KW/ref=sr_1_21?dchild=1&keywords=headphones&qid=1584620124&sr=8-21,"1,499",4.0 out of 5 stars,FREE Delivery by Amazon
"Redgear Cosmo 7.1 USB Gaming Headphones with RGB LED Effect, Mic and in-line Controller for PC",/Redgear-Cosmo-7-1-Headphones-Controller/dp/B079S811J3/ref=sr_1_22?dchild=1&keywords=headphones&qid=1584620124&sr=8-22,"1,899",,FREE Delivery by Amazon
"TEQNEQ Wireless Bluetooth Earphone Headphone for Running and Gym, Stereo Sound with Accessories Multipurpose Pocket Storage Earphone Carrying Case (Multicolor)",/TEQNEQ-Bluetooth-Accessories-Multipurpose-Multicolor/dp/B085VH7V3V/ref=sr_1_23?dchild=1&keywords=headphones&qid=1584620124&sr=8-23,319,,
"Logitech H110 Stereo Headset, Black & Grey",/Logitech-H110-Stereo-Headset-Black/dp/B003H4QPJQ/ref=sr_1_24?dchild=1&keywords=headphones&qid=1584620124&sr=8-24,629,,FREE Delivery by Amazon
GADGETLANCE AKG Headphone Compatible VIVO Mobhs ILE in Ear Earphone Headphone Handfree Headset with Mic 3.5mm Jack with MIC,/GADGETLANCE-Headphone-Compatible-Earphone-Handfree/dp/B081WT6F7D/ref=sr_1_25?dchild=1&keywords=headphones&qid=1584620124&sr=8-25,99,,
"Redgear Dagger Professional Gaming Headphones with RGB LED Effect, Volume Controller and Retractable Microphone",/Redgear-Dagger-Professional-Headphones-Retractable/dp/B07B6LFDBN/ref=sr_1_26?dchild=1&keywords=headphones&qid=1584620124&sr=8-26,999,4.1 out of 5 stars,FREE Delivery by Amazon
TEQNEQ HBS-730 Neckband Bluetooth Headphones Wireless Sport Stereo Headsets Handsfree with Microphone for All Latest Android Smartphones,/TEQNEQ-Headphones-Microphone-All-Smartphones/dp/B085W3D22N/ref=sr_1_29?dchild=1&keywords=headphones&qid=1584620124&sr=8-29,399,,
Cosmic Byte GS410 Headphones with Mic (Black/Red),/Cosmic-Byte-GS410-Headphones-Black/dp/B07413RMMP/ref=sr_1_30?dchild=1&keywords=headphones&qid=1584620124&sr=8-30,949,4.1 out of 5 stars,FREE Delivery by Amazon
"Lowfe Bluetooth Headphone with Noise Isolation and Hands-Free Mic and Buttons with Magnetic Earbuds Secure Fit for Gym, Running and Outdoor for All Smartphone",/Lowfe-Bluetooth-Hands-Free-All-Smartphone/dp/B085TKMXYJ/ref=sr_1_31?dchild=1&keywords=headphones&qid=1584620124&sr=8-31,279,,
Sketchfab Extra bass Headphones Over The Ear Headset with Deep bass (Blue),/Sketchfab-Extra-bass-Headphones-Headset/dp/B08217J9WV/ref=sr_1_32?dchild=1&keywords=headphones&qid=1584620124&sr=8-32,349,,
Sennheiser HD 206 507364 Headphones (Black),/Sennheiser-HD-206-507364-Headphones/dp/B01N7S0IPR/ref=sr_1_33?dchild=1&keywords=headphones&qid=1584620124&smid=A14CZOWI0VEHLG&sr=8-33,"1,199",4.0 out of 5 stars,FREE Delivery by Amazon
SHOPTOSHOP TM Bluetooth Wireless Headphones Sport Stereo Headsets Hands-Free with Microphone and Neckband for Android and Apple Devices (Multi Colored) (Standard),/SHOPTOSHOP-Bluetooth-Headphones-Hands-Free-Microphone/dp/B081Z46HL2/ref=sr_1_34?dchild=1&keywords=headphones&qid=1584620124&sr=8-34,399,,
Mi Earphone Basic with Ultra deep bass and mic (Blue),/Mi-Earphone-Basic-Ultra-deep/dp/B07QJYB8BC/ref=sr_1_35?dchild=1&keywords=headphones&qid=1584620124&sr=8-35,399,4.2 out of 5 stars,FREE Delivery over ₹499. Fulfilled by Amazon.
AmazonBasics Lightweight On-Ear Headphones - Black,/AmazonBasics-Lightweight-On-Ear-Headphones-Black/dp/B07FXF7HXN/ref=sr_1_36?dchild=1&keywords=headphones&qid=1584620124&sr=8-36,499,3.9 out of 5 stars,FREE Delivery by Amazon
"iBall Decibel BT01 Smart Headphone with Alexa Enabled – Blue, White and Silver",/iBall-Decibel-BT01-Headset-Enabled/dp/B07JC17TRT/ref=sr_1_35?dchild=1&keywords=headphones&qid=1584620127&smid=A14CZOWI0VEHLG&sr=8-35,799,3.9 out of 5 stars,FREE Delivery by Amazon
pTron Bassbuds in-Ear True Wireless Bluetooth Headphones (TWS) with Mic - (Green),/pTron-Bassbuds-Wireless-Bluetooth-Headphones/dp/B0843759T1/ref=sr_1_36?dchild=1&keywords=headphones&qid=1584620127&sr=8-36,"1,099",,FREE Delivery by Amazon
"ROCKETKART Earphones, Headphones for OnePlus 7 Pro, 6T, Oppo F9 Pro, F11 Pro, Redmi Y3, Vivo V15, M10, M20, M30, M40, R17, Realme U1, Realme 2 Pro, Realme 3, Mi 6 Pro, 6A, 5A, Mi A2, Redmi 7 Headset",/ROCKETKART-Earphones-Headphones-OnePlus-Headset/dp/B07VZLR795/ref=sr_1_37?dchild=1&keywords=headphones&qid=1584620127&sr=8-37,215,,FREE Delivery over ₹499. Fulfilled by Amazon.
JBL C200SI Super Deep Bass in-Ear Headphones with Mic (Mystic Blue),/JBL-C200SI-Ear-Headphones-Mystic/dp/B07DFYJRQV/ref=sr_1_38?dchild=1&keywords=headphones&qid=1584620127&smid=A14CZOWI0VEHLG&sr=8-38,699,4.1 out of 5 stars,FREE Delivery by Amazon
boAt Bass Heads 900 Wired Headphones with Mic (White),/Heads-900-Wired-Headphones-White/dp/B078W65FJ7/ref=sr_1_39?dchild=1&keywords=headphones&qid=1584620127&sr=8-39,749,4.2 out of 5 stars,FREE Delivery by Amazon
MuveAcoustics Impulse Wired On-Ear Headphones with Microphone (Flagship Blue),/MuveAcoustics-Impulse-MA-1500FB-Headphones-Flagship/dp/B01MXPH0G9/ref=sr_1_40?dchild=1&keywords=headphones&qid=1584620127&sr=8-40,649,,FREE Delivery by Amazon
Sennheiser CX 275 S In -Ear Universal Mobile Headphone With Mic (Black),/Sennheiser-CX-275-Universal-Headphone/dp/B008V6T1IW/ref=sr_1_41?dchild=1&keywords=headphones&qid=1584620127&smid=A14CZOWI0VEHLG&sr=8-41,"1,549",4.1 out of 5 stars,FREE Delivery by Amazon
LvL U Series OG Bass Bluetooth Wireless Earphones BT 4.2 with Mic in Ear OG Bass Stereo Sport Neckband Headphone Headset with Call Vibration Alert for All Andriod & iOS Mobile Phones and Laptops,/Bluetooth-Wireless-Earphones-Headphone-Vibration/dp/B084G526Z5/ref=sr_1_42?dchild=1&keywords=headphones&qid=1584620127&sr=8-42,629,,
boAt BassHeads 100 in-Ear Headphones with Mic (White),/boAt-BassHeads-100-Headphones-White/dp/B07234XXJF/ref=sr_1_45?dchild=1&keywords=headphones&qid=1584620127&sr=8-45,379,4.1 out of 5 stars,FREE Delivery over ₹499. Fulfilled by Amazon.
boAt Rockerz 370 Ergonomically Styled Wireless Headphones with Bluetooth V5.0 & Up to 8 Hours of Playback (Buoyant Black),/Rockerz-370-Ergonomically-Headphones-Bluetooth/dp/B0856HNMR7/ref=sr_1_46?dchild=1&keywords=headphones&qid=1584620127&smid=A14CZOWI0VEHLG&sr=8-46,"1,299",4.1 out of 5 stars,FREE Delivery by Amazon
Rhythm&Blues A450BT On-Ear Bluetooth Wireless Headphones with Mic (Black),/Rhythm-Blues-A450BT-Bluetooth-Headphones/dp/B07PBWF9ND/ref=sr_1_47?dchild=1&keywords=headphones&qid=1584620127&sr=8-47,599,,FREE Delivery by Amazon
Philips SHE1405BK/94 In-Ear Headphone Headset With Mic - Black,/Philips-SHE1405BK-94-Headphone-Headset/dp/B00U3S24RQ/ref=sr_1_48?dchild=1&keywords=headphones&qid=1584620127&sr=8-48,289,,FREE Delivery over ₹499. Fulfilled by Amazon.
Cosmic Byte Spider Gaming Headphone with Microphone & LED for PC/PS4/Xbox/Mobiles/Tablets (Blue),/Cosmic-Byte-Spider-Microphone-Blue/dp/B081D57HB3/ref=sr_1_49?dchild=1&keywords=headphones&qid=1584620127&sr=8-49,"1,099",,FREE Delivery by Amazon
WOW Imagine Shock Proof Protective Silicone Case Sleeve Skin with [ Key Chain Clasp ] for Apple AirPods Wireless Headphone Charging Case Box - Pitch Black,/WOW-Imagine-Protective-Silicone-Headphone/dp/B084Z7L2DT/ref=sr_1_50?dchild=1&keywords=headphones&qid=1584620127&sr=8-50,249,,FREE Delivery over ₹499. Fulfilled by Amazon.
Xmate Joy in-Ear Metal Wired Headphones with Bass & Mic - (Black),/Xmate-Joy-Metal-Extra-Headphones/dp/B07S1XQQQ5/ref=sr_1_51?dchild=1&keywords=headphones&qid=1584620127&smid=A14CZOWI0VEHLG&sr=8-51,299,3.9 out of 5 stars,FREE Delivery over ₹499. Fulfilled by Amazon.
"Boult Audio ProBass Stella Over-Ear Wireless Bluetooth Headphones with Mic & Noise Cancellation, Headset with Long Battery Life (Beige)",/Boult-Audio-Stella-Headphones-Cancellation/dp/B07MCTGB8H/ref=sr_1_52?dchild=1&keywords=headphones&qid=1584620127&sr=8-52,"1,299",,FREE Delivery by Amazon
EASYSHOP Magnetic Bluetooth Headphone with Noise Isolation and Hands-Free Mic and Buttons with Magnetic Earbuds Secure Fit for All Android & Smartsphones,/EASYSHOP-Bluetooth-Headphone-Hands-Free-Smartsphones/dp/B0822NWKCB/ref=sr_1_51?dchild=1&keywords=headphones&qid=1584620131&sr=8-51,249,,
Sketchfab Extra bass Headphones Over The Ear Headset with Deep bass (Red),/Sketchfab-Extra-bass-Headphones-Headset/dp/B0821727QX/ref=sr_1_52?dchild=1&keywords=headphones&qid=1584620131&sr=8-52,349,,
JBL T460BT Extra Bass Wireless On-Ear Headphones with 11 Hours Playtime & Mic (Black),/JBL-T460BT-Extra-Wireless-Headphones/dp/B077T4737M/ref=sr_1_53?dchild=1&keywords=headphones&qid=1584620131&smid=A14CZOWI0VEHLG&sr=8-53,"2,399",4.1 out of 5 stars,FREE Delivery by Amazon
